43505,2001-12-31,123301.0
18271,1999-07-31,141398.0
207297,1996-06-30,185039.0
10824,2020-07-31,91038.0
48079,2009-01-31,106649.0
36861,2015-10-31,275300.0
32408,2015-09-30,68907.0
49580,2016-09-30,409459.0
39117,2019-11-30,589719.0
49372,2004-12-31,185437.0
24449,1998-08-31,172648.0
12926,2019-11-30,326396.0
37619,2004-03-31,145481.0
32789,1996-06-30,126667.0
32830,2005-07-31,118355.0
11914,2003-06-30,200339.0
15449,2007-11-30,298750.0
54928,2004-08-31,179360.0
21132,1996-12-31,115757.0
53570,2013-12-31,216022.0
47087,2017-07-31,260020.0
3431,2007-04-30,617605.0
27422,2015-12-31,236273.0
43010,2008-03-31,285345.0
17292,2019-08-31,167509.0
17491,2020-03-31,342273.0
23223,2006-12-31,144402.0
11013,2002-05-31,106807.0
20403,2000-07-31,154904.0
24095,1996-09-30,98562.0
15449,2001-10-31,186911.0
15596,2009-11-30,122998.0
15596,2018-05-31,164646.0
3431,2007-05-31,617291.0
49914,2010-05-31,120177.0
31244,2013-01-31,160864.0
207297,2000-04-30,213635.0
34259,2006-06-30,182445.0
33499,2019-11-30,250356.0
49691,2020-12-31,454962.0
14113,2014-09-30,157851.0
3815,2005-11-30,216418.0
5504,2013-06-30,495050.0
48322,2007-03-31,283583.0
3955,2020-08-31,433763.0
31913,2022-08-31,324246.0
28041,2002-06-30,189658.0
39161,2022-06-30,552954.0
30149,2013-01-31,167018.0
26055,2015-06-30,137889.0
39436,2009-12-31,219631.0
9307,2004-11-30,111633.0
32014,2014-10-31,151062.0
28600,2021-01-31,277728.0
396843,2013-05-31,320265.0
44770,1996-02-29,113093.0
206770,2004-09-30,258289.0
12751,2022-02-28,531506.0
22042,2012-07-31,121405.0
56480,2004-06-30,323077.0
14057,2006-01-31,167221.0
7223,2020-07-31,297656.0
10043,2008-08-31,189210.0
11914,2008-10-31,270748.0
37793,2012-11-30,139337.0
31785,2013-12-31,245108.0
13330,1996-03-31,211202.0
26716,1997-04-30,115258.0
9362,2004-03-31,183089.0
4675,2011-03-31,237831.0
37973,2019-08-31,454168.0
22967,1996-02-29,119059.0
50465,2012-09-30,154071.0
3311,2010-05-31,241008.0
31244,1997-04-30,127748.0
31829,2009-02-28,240341.0
13330,2008-02-29,391129.0
26077,2007-07-31,337400.0
13222,2004-05-31,285365.0
22661,2012-06-30,86181.0
4451,2007-10-31,370337.0
44566,1997-03-31,167847.0
44566,2020-12-31,453771.0
24268,2020-11-30,355088.0
43505,2022-09-30,410148.0
57274,2007-03-31,183473.0
4863,2022-08-31,424367.0
53570,2017-04-30,268843.0
39355,1999-11-30,146812.0
15495,2018-06-30,139609.0
37973,2005-10-31,284023.0
28584,2021-05-31,333912.0
34785,2022-04-30,232397.0
5445,2017-05-31,163558.0
27420,2000-08-31,108185.0
14113,1996-06-30,69471.0
49691,1996-06-30,165082.0
25708,2006-02-28,145364.0
4398,2012-02-29,157311.0
8638,2015-05-31,262064.0
29443,2016-11-30,213365.0
25925,2016-08-31,159725.0
36954,2010-10-31,238137.0
28041,2016-12-31,379703.0
20801,2020-02-29,314245.0
13587,2005-07-31,153836.0
17491,2005-05-31,227097.0
15028,2021-08-31,197514.0
13788,2012-10-31,208810.0
49914,2000-12-31,88613.0
45327,2020-01-31,129997.0
3955,2015-05-31,295605.0
25205,2011-11-30,176075.0
7394,2000-06-30,140841.0
48321,2004-09-30,292893.0
5445,2021-08-31,255540.0
20317,1998-10-31,130834.0
38438,2020-01-31,343502.0
24449,2018-03-31,380638.0
25628,2013-08-31,190822.0
32014,2005-03-31,127847.0
18878,2010-08-31,144982.0
53210,2000-06-30,188610.0
31784,2018-01-31,304386.0
49580,2019-02-28,501960.0
